filename,rating1,rating2
26_1_1_20170103181439968.jpg.chip.jpg,4,3
26_1_1_20170103181834825.jpg.chip.jpg,5,4
26_1_1_20170103181931657.jpg.chip.jpg,3,5
26_1_1_20170103225852672.jpg.chip.jpg,1,3
26_1_1_20170104235433201.jpg.chip.jpg,5,4
26_1_1_20170109134519311.jpg.chip.jpg,1,2
26_1_1_20170112204005344.jpg.chip.jpg,1,2
26_1_1_20170112205848764.jpg.chip.jpg,5,3
26_1_1_20170112205853539.jpg.chip.jpg,1,1
26_1_1_20170112210240181.jpg.chip.jpg,1,1
26_1_1_20170112210418412.jpg.chip.jpg,4,5
26_1_1_20170112210429380.jpg.chip.jpg,1,1
26_1_1_20170112210451957.jpg.chip.jpg,2,3
26_1_1_20170112210553412.jpg.chip.jpg,2,1
26_1_1_20170112210754466.jpg.chip.jpg,1,1
26_1_1_20170112210842781.jpg.chip.jpg,1,3
26_1_1_20170112211326509.jpg.chip.jpg,5,5
26_1_1_20170112211356292.jpg.chip.jpg,1,1
26_1_1_20170112211527323.jpg.chip.jpg,5,5
26_1_1_20170112212028557.jpg.chip.jpg,1,1
26_1_1_20170112212030764.jpg.chip.jpg,1,2
26_1_1_20170112212041107.jpg.chip.jpg,4,5
26_1_1_20170112212048675.jpg.chip.jpg,3,2
26_1_1_20170112213016277.jpg.chip.jpg,2,1
26_1_1_20170112213024014.jpg.chip.jpg,4,4
26_1_1_20170112213031047.jpg.chip.jpg,3,5
26_1_1_20170112213032340.jpg.chip.jpg,2,2
26_1_1_20170112213116517.jpg.chip.jpg,1,1
26_1_1_20170112213133100.jpg.chip.jpg,2,1
26_1_1_20170112213135759.jpg.chip.jpg,2,1
26_1_1_20170112213221119.jpg.chip.jpg,1,1
26_1_1_20170112213253821.jpg.chip.jpg,3,4
26_1_1_20170112213310815.jpg.chip.jpg,3,3
26_1_1_20170112213354350.jpg.chip.jpg,4,4
26_1_1_20170112213442439.jpg.chip.jpg,5,5
26_1_1_20170112213448336.jpg.chip.jpg,1,1
26_1_1_20170112224805692.jpg.chip.jpg,2,2
26_1_1_20170112230436478.jpg.chip.jpg,3,2
26_1_1_20170112230519613.jpg.chip.jpg,4,5
26_1_1_20170112230547118.jpg.chip.jpg,2,1
26_1_1_20170112230609340.jpg.chip.jpg,5,5
26_1_1_20170112230617333.jpg.chip.jpg,5,5
26_1_1_20170112230643812.jpg.chip.jpg,5,5
26_1_1_20170112231645231.jpg.chip.jpg,1,1
26_1_1_20170112233445111.jpg.chip.jpg,4,3
26_1_1_20170112233658982.jpg.chip.jpg,2,2
26_1_1_20170112234340711.jpg.chip.jpg,4,3
26_1_1_20170112235057871.jpg.chip.jpg,4,4
26_1_1_20170112235250049.jpg.chip.jpg,3,1
26_1_1_20170112235515129.jpg.chip.jpg,3,3
26_1_1_20170112235540169.jpg.chip.jpg,4,5
26_1_1_20170112235910121.jpg.chip.jpg,2,1
26_1_1_20170112235913713.jpg.chip.jpg,4,4
26_1_1_20170112235923687.jpg.chip.jpg,5,4
26_1_1_20170112235940056.jpg.chip.jpg,1,2
26_1_1_20170112235952009.jpg.chip.jpg,4,4
26_1_1_20170113000003360.jpg.chip.jpg,4,3
26_1_1_20170113000030801.jpg.chip.jpg,1,1
26_1_1_20170113000114594.jpg.chip.jpg,1,1
26_1_1_20170113000222125.jpg.chip.jpg,4,3
26_1_1_20170113000258193.jpg.chip.jpg,2,1
26_1_1_20170113000317146.jpg.chip.jpg,1,1
26_1_1_20170113000334730.jpg.chip.jpg,1,1
26_1_1_20170113000455266.jpg.chip.jpg,4,4
26_1_1_20170113000509698.jpg.chip.jpg,3,2
26_1_1_20170113000552163.jpg.chip.jpg,3,4
26_1_1_20170113000644330.jpg.chip.jpg,5,5
26_1_1_20170113000646211.jpg.chip.jpg,5,5
26_1_1_20170113000647442.jpg.chip.jpg,5,4
26_1_1_20170113000649129.jpg.chip.jpg,5,4
26_1_1_20170113000655059.jpg.chip.jpg,5,5
26_1_1_20170113000717466.jpg.chip.jpg,4,2
26_1_1_20170113000749634.jpg.chip.jpg,2,3
26_1_1_20170113001517730.jpg.chip.jpg,3,3
26_1_1_20170113001606417.jpg.chip.jpg,2,1
26_1_1_20170113001925675.jpg.chip.jpg,2,4
26_1_1_20170113003743101.jpg.chip.jpg,4,4
26_1_1_20170113011613638.jpg.chip.jpg,3,3
26_1_1_20170113011621775.jpg.chip.jpg,3,2
26_1_1_20170113011650632.jpg.chip.jpg,3,2
26_1_1_20170113011732808.jpg.chip.jpg,1,1
26_1_1_20170113011757664.jpg.chip.jpg,5,5
26_1_1_20170113011811105.jpg.chip.jpg,5,5
26_1_1_20170113011815991.jpg.chip.jpg,5,5
26_1_1_20170113011825553.jpg.chip.jpg,3,3
26_1_1_20170113011845176.jpg.chip.jpg,4,5
26_1_1_20170113012012655.jpg.chip.jpg,4,3
26_1_1_20170113012032526.jpg.chip.jpg,4,3
26_1_1_20170113012034848.jpg.chip.jpg,2,3
26_1_1_20170113012101312.jpg.chip.jpg,4,5
26_1_1_20170113012119680.jpg.chip.jpg,3,4
